Week,Sched Games,Sched Byes,Unsched Games,Unsched Byes,Unsched Teams,Team1,Team2,Team3,Team4
5,15,2,58,0,0,0,0,S:2:gia:bea:-0.06988636363636364:0.0,S:3:dol:bil:-0.031155686418844253:0.0,S:4:tit:pat:0.02080538509109936:0.0,U:tit:col:0.04223871366728511:0.0:0,U:pan:buc:0.21893939393939404:0.0:0,U:49e:car:0.026592851592851588:0.0:0
5,15,2,58,0,0,0,0,S:2:gia:bea:-0.06988636363636364:0.0,S:3:dol:bil:-0.031155686418844253:0.0,S:4:tit:pat:0.02080538509109936:0.0,U:tit:col:0.04223871366728511:0.0:0,U:pan:buc:0.21893939393939404:0.0:0,U:49e:car:0.026592851592851588:0.0:0
5,15,2,58,0,0,0,0,S:2:gia:bea:-0.06988636363636364:0.0,S:3:dol:bil:-0.031155686418844253:0.0,S:4:tit:pat:0.02080538509109936:0.0,U:tit:col:0.04223871366728511:0.0:0,U:pan:buc:0.21893939393939404:0.0:0,U:49e:car:0.026592851592851588:0.0:0
5,15,2,58,0,0,0,0,S:2:gia:bea:-0.06988636363636364:0.0,S:3:dol:bil:-0.031155686418844253:0.0,S:4:tit:pat:0.02080538509109936:0.0,U:tit:col:0.04223871366728511:0.0:0,U:pan:buc:0.21893939393939404:0.0:0,U:49e:car:0.026592851592851588:0.0:0
5,15,2,58,0,0,0,0,S:2:gia:bea:-0.06988636363636364:0.0,S:3:dol:bil:-0.031155686418844253:0.0,S:4:tit:pat:0.02080538509109936:0.0,U:tit:col:0.04223871366728511:0.0:0,U:pan:buc:0.21893939393939404:0.0:0,U:49e:car:0.026592851592851588:0.0:0
5,15,2,58,0,0,0,0,S:2:gia:bea:-0.06988636363636364:0.0,S:3:dol:bil:-0.031155686418844253:0.0,S:4:tit:pat:0.02080538509109936:0.0,U:tit:col:0.04223871366728511:0.0:0,U:pan:buc:0.21893939393939404:0.0:0,U:49e:car:0.026592851592851588:0.0:0
5,15,2,58,0,0,0,0,S:2:gia:bea:-0.06988636363636364:0.0,S:3:dol:bil:-0.031155686418844253:0.0,S:4:tit:pat:0.02080538509109936:0.0,U:tit:col:0.04223871366728511:0.0:0,U:pan:buc:0.21893939393939404:0.0:0,U:49e:car:0.026592851592851588:0.0:0
5,15,2,58,0,0,0,0,S:2:gia:bea:-0.06988636363636364:0.0,S:3:dol:bil:-0.031155686418844253:0.0,S:4:tit:pat:0.02080538509109936:0.0,U:tit:col:0.04223871366728511:0.0:0,U:pan:buc:0.21893939393939404:0.0:0,U:49e:car:0.026592851592851588:0.0:0
5,15,2,58,0,0,0,0,S:2:gia:bea:-0.06988636363636364:0.0,S:3:dol:bil:-0.031155686418844253:0.0,S:4:tit:pat:0.02080538509109936:0.0,U:tit:col:0.04223871366728511:0.0:0,U:pan:buc:0.21893939393939404:0.0:0,U:49e:car:0.026592851592851588:0.0:0
5,15,2,58,0,0,0,0,S:2:gia:bea:-0.06988636363636364:0.0,S:3:dol:bil:-0.031155686418844253:0.0,S:4:tit:pat:0.02080538509109936:0.0,U:tit:col:0.04223871366728511:0.0:0,U:pan:buc:0.21893939393939404:0.0:0,U:49e:car:0.026592851592851588:0.0:0
5,15,2,58,0,0,0,0,S:2:gia:bea:-0.06988636363636364:0.0,S:3:dol:bil:-0.031155686418844253:0.0,S:4:tit:pat:0.02080538509109936:0.0,U:tit:col:0.04223871366728511:0.0:0,U:pan:buc:0.21893939393939404:0.0:0,U:49e:car:0.026592851592851588:0.0:0
5,15,2,58,0,0,0,0,S:2:gia:bea:-0.06988636363636364:0.0,S:3:dol:bil:-0.031155686418844253:0.0,S:4:tit:pat:0.02080538509109936:0.0,U:tit:col:0.04223871366728511:0.0:0,U:pan:buc:0.21893939393939404:0.0:0,U:49e:car:0.026592851592851588:0.0:0
5,15,2,58,0,0,0,0,S:2:gia:bea:-0.06988636363636364:0.0,S:3:dol:bil:-0.031155686418844253:0.0,S:4:tit:pat:0.02080538509109936:0.0,U:tit:col:0.04223871366728511:0.0:0,U:pan:buc:0.21893939393939404:0.0:0,U:49e:car:0.026592851592851588:0.0:0
5,15,2,58,0,0,0,0,S:2:gia:bea:-0.06988636363636364:0.0,S:3:dol:bil:-0.031155686418844253:0.0,S:4:tit:pat:0.02080538509109936:0.0,U:tit:col:0.04223871366728511:0.0:0,U:pan:buc:0.21893939393939404:0.0:0,U:49e:car:0.026592851592851588:0.0:0
5,15,2,58,0,0,0,0,S:2:gia:bea:-0.06988636363636364:0.0,S:3:dol:bil:-0.031155686418844253:0.0,S:4:tit:pat:0.02080538509109936:0.0,U:tit:col:0.04223871366728511:0.0:0,U:pan:buc:0.21893939393939404:0.0:0,U:49e:car:0.026592851592851588:0.0:0
5,15,2,58,0,0,0,0,S:2:gia:bea:-0.06988636363636364:0.0,S:3:dol:bil:-0.031155686418844253:0.0,S:4:tit:pat:0.02080538509109936:0.0,U:tit:col:0.04223871366728511:0.0:0,U:pan:buc:0.21893939393939404:0.0:0,U:49e:car:0.026592851592851588:0.0:0
5,15,2,58,0,0,0,0,S:2:gia:bea:-0.06988636363636364:0.0,S:3:dol:bil:-0.031155686418844253:0.0,S:4:tit:pat:0.02080538509109936:0.0,U:tit:col:0.04223871366728511:0.0:0,U:pan:buc:0.21893939393939404:0.0:0,U:49e:car:0.026592851592851588:0.0:0
5,15,2,58,0,0,0,0,S:2:gia:bea:-0.06988636363636364:0.0,S:3:dol:bil:-0.031155686418844253:0.0,S:4:tit:pat:0.02080538509109936:0.0,U:tit:col:0.04223871366728511:0.0:0,U:pan:buc:0.21893939393939404:0.0:0,U:49e:car:0.026592851592851588:0.0:0
5,15,2,58,0,0,0,0,S:2:gia:bea:-0.06988636363636364:0.0,S:3:dol:bil:-0.031155686418844253:0.0,S:4:tit:pat:0.02080538509109936:0.0,U:tit:col:0.04223871366728511:0.0:0,U:pan:buc:0.21893939393939404:0.0:0,U:49e:car:0.026592851592851588:0.0:0
5,15,2,58,0,0,0,0,S:2:gia:bea:-0.06988636363636364:0.0,S:3:dol:bil:-0.031155686418844253:0.0,S:4:tit:pat:0.02080538509109936:0.0,U:tit:col:0.04223871366728511:0.0:0,U:pan:buc:0.21893939393939404:0.0:0,U:49e:car:0.026592851592851588:0.0:0
5,15,2,58,0,0,0,0,S:2:gia:bea:-0.06988636363636364:0.0,S:3:dol:bil:-0.031155686418844253:0.0,S:4:tit:pat:0.02080538509109936:0.0,U:tit:col:0.04223871366728511:0.0:0,U:pan:buc:0.21893939393939404:0.0:0,U:49e:car:0.026592851592851588:0.0:0
6,15,2,73,0,0,0,0,S:2:ben:ste:-0.021212121212121113:0.0,S:3:pat:chi:-0.025757575757575743:0.0,S:4:eag:tex:0.002020202020202033:0.0,U:tit:col:0.04223871366728511:0.0:0,U:pan:buc:0.1898989898989899:0.0:0,U:49e:car:0.764361001317523:0.0:0
5,14,2,59,0,2,bills,Browns,S:2:jag:red:-0.078868006993007:0.0,S:3:gia:bea:-0.025705329153605017:0.0,S:4:tit:pat:3.972218257932286E-4:0.0,U:tit:col:0.021830550401978996:0.0:0,U:pan:buc:0.19545454545454558:0.0:0,U:tex:dol:0.2057109557109556:0.0:0
5,14,2,59,0,2,Lions,Bengals,S:2:dol:bil:0.4752039627039627:0.0,S:3:bro:pan:0.04498439413693649:0.0,S:4:jag:red:-0.0785616344439874:0.0,U:tit:col:0.04756258234519106:0.0:0,U:pan:buc:0.1795326142783771:0.0:0,U:tex:dol:0.2057109557109556:0.0:0
5,14,2,59,0,2,colts,Browns,S:2:lio:pan:0.025000000000000022:0.0,S:3:ben:rai:0.09906759906759906:0.0,S:4:jag:red:-0.05282634032634033:0.0,U:tit:col:0.048841354723707694:0.0:0,U:pan:buc:0.16893939393939406:0.0:0,U:tex:dol:0.2057109557109556:0.0:0
5,14,2,59,0,2,bills,Ravens,S:2:tit:col:0.05435606060606063:0.0,S:3:bro:pan:0.04914734388418596:0.0,S:4:jag:red:-0.07536035393178252:0.0,U:pan:buc:0.1842902711323765:0.0:0,U:tex:dol:0.2057109557109556:0.0:0,U:tit:jet:-0.013150738150738125:0.0:0
5,15,2,58,0,0,0,0,S:2:dol:bil:0.4752039627039627:0.0,S:3:rav:buc:0.10862075777330014:0.0,S:4:jag:red:-0.0785616344439874:0.0,U:pan:buc:0.1795326142783771:0.0:0,U:tex:dol:0.2057109557109556:0.0:0,U:tit:jet:-0.013150738150738125:0.0:0
4,14,2,44,0,2,redskins,jaguars,S:2:sai:eag:-0.0552241875771287:0.0,S:3:tex:col:-0.01651126651126661:0.0,S:4:pac:lio:5.827505827505353E-4:0.0,U:pan:buc:0.2293473193473193:0.0:0,U:tex:dol:0.13608759661391234:0.0:0,U:tit:jet:0.11293706293706293:0.0:0
